codigo_manzana,prom_edad,desv_edad,min_edad,max_edad,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000001010103,27.9,21.1,2.0,82.0,4.0,2.3,0.44,0.44
5000110000000001010104,33.6,20.8,2.0,82.0,5.0,2.2,0.54,0.94
5000110000000001010106,38.4,22.6,2.0,87.0,5.0,2.7,0.41,0.85
5000110000000001010107,32.4,20.8,2.0,92.0,5.0,2.8,0.56,0.93
5000110000000001010108,35.9,21.7,2.0,87.0,5.0,2.5,0.66,0.88
5000110000000001010109,36.2,22.5,2.0,87.0,4.0,2.5,0.41,0.94
5000110000000001010110,37.3,22.4,2.0,87.0,5.0,2.7,0.54,0.96
5000110000000001010111,37.2,21.9,2.0,92.0,4.0,2.6,0.46,0.91
5000110000000001010113,35.9,22.4,2.0,92.0,5.0,2.2,0.57,0.88
5000110000000001010114,35.1,20.9,2.0,87.0,5.0,2.8,0.48,0.81
5000110000000001010119,39.3,21.6,2.0,87.0,4.0,3.0,0.58,0.92
5000110000000001010120,36.8,20.7,2.0,82.0,5.0,2.8,0.43,0.83
5000110000000001010122,27.3,14.6,7.0,57.0,3.0,2.0,0.25,0.75
5000110000000001010123,32.0,21.1,2.0,77.0,4.0,2.0,0.57,1.0
5000110000000001010124,36.1,22.2,2.0,92.0,4.0,1.9,0.5,0.89
5000110000000001010125,39.6,21.5,2.0,87.0,4.0,2.0,0.41,0.9
5000110000000001010126,35.7,22.0,2.0,82.0,5.0,2.7,0.59,1.0
5000110000000001010127,31.4,20.2,2.0,87.0,5.0,1.1,0.64,0.82
5000110000000001010129,33.5,20.5,2.0,82.0,4.0,1.9,0.57,1.0
5000110000000001010130,31.3,21.6,2.0,77.0,5.0,2.0,0.29,1.0
5000110000000001010132,37.6,22.1,2.0,92.0,5.0,1.8,0.6,0.94
5000110000000001010203,36.1,19.7,2.0,77.0,4.0,2.0,0.48,0.87
5000110000000001010204,32.4,21.3,2.0,92.0,4.0,1.5,0.63,0.85
5000110000000001010206,31.9,19.8,2.0,77.0,4.0,2.0,0.45,0.93
5000110000000001010207,29.7,17.2,2.0,67.0,6.0,2.5,0.42,0.92
5000110000000001010208,36.4,23.1,2.0,87.0,6.0,3.7,0.69,0.85
5000110000000001010209,37.5,19.5,2.0,72.0,6.0,3.8,0.65,0.79
5000110000000001010217,35.2,21.4,2.0,82.0,5.0,2.9,0.57,0.86
